Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
3388,Brechites,NNP,[조개류]  브레키테스속(屬)(Brechites)이나 클라바겔라속(屬)(Clavagella)의 조개.  ,  브레키테스속(屬)(Brechites)이나 클라바겔라속(屬)(Clavagella)의 조개,  브레키테스속(屬)(Brechites)이나 클라바겔라속(屬)(Clavagella)의 조개,  브레키테스속(屬)(Brechites)이나 클라바겔라속(屬)(Clavagella)의 조개,브레키테스속의 조개,,브레키테스속의 조개,NaN
3389,Bremia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3390,Brendan,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3391,Brender,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3392,Brenthis,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3393,Brescian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3394,Bret,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3395,Bretonian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3396,Bretschneideraceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3397,Brett,NNP,  남자 또는 여자 이름.  ,남자 또는 여자 이름.  ,남자 또는 여자 이름.  ,남자 또는 여자 이름.  ,남자 또는 여자 이름.,,남자 또는 여자 이름.,NaN
